submitted_at	stage	model	run_id	pbs_job_id
2026-07-28T07:27:27+00:00	trace	gpt-j-6b	dependency	direct:150-136-40-217:complete
2026-07-28T07:48:13+00:00	covariance	gpt-j-6b	layer-5	direct:150-136-40-217:complete
2026-07-28T07:52:00+00:00	trace	mistral-7b-v0.1	dependency	direct:150-136-40-217:complete
2026-07-28T08:08:33+00:00	covariance	mistral-7b-v0.1	layer-5	direct:150-136-40-217:complete
2026-07-28T08:13:34+00:00	trace	falcon-7b	dependency	direct:150-136-40-217:complete
2026-07-28T08:39:47+00:00	covariance	falcon-7b	layer-5	direct:150-136-40-217:complete
2026-07-28T08:42:45+00:00	trace	opt-6.7b	dependency	direct:150-136-40-217:complete
2026-07-28T09:06:19+00:00	covariance	opt-6.7b	layer-14	direct:150-136-40-217:complete
2026-07-28T09:10:49+00:00	smoke-a	gpt2-xl	rome-math-n50-smoke-a-gpt2-xl-v1	direct:150-136-40-217:complete
2026-07-28T09:11:22+00:00	smoke-a	mistral-7b-v0.1	rome-math-n50-smoke-a-mistral-7b-v0.1-v1	direct:150-136-40-217:complete
2026-07-28T09:12:42+00:00	smoke-b	gpt2-xl	rome-math-n50-smoke-b-gpt2-xl-v1	direct:150-136-40-217:complete
2026-07-28T09:13:17+00:00	smoke-b	mistral-7b-v0.1	rome-math-n50-smoke-b-mistral-7b-v0.1-v1	direct:150-136-40-217:complete
2026-07-28T09:17:43+00:00	n50	gpt2-xl	rome-math-n50-gpt2-xl-v1	direct:150-136-40-217:complete
2026-07-28T09:23:20+00:00	n50	gpt-j-6b	rome-math-n50-gpt-j-6b-v1	direct:150-136-40-217:complete
2026-07-28T09:29:00+00:00	n50	mistral-7b-v0.1	rome-math-n50-mistral-7b-v0.1-v1	direct:150-136-40-217:complete
2026-07-28T09:34:36+00:00	n50	mistral-7b-v0.3	rome-math-n50-mistral-7b-v0.3-v1	direct:150-136-40-217:complete
2026-07-28T09:41:04+00:00	n50	deepseek-7b-base	rome-math-n50-deepseek-7b-base-v1	direct:150-136-40-217:complete
2026-07-28T09:45:52+00:00	n50	falcon-7b	rome-math-n50-falcon-7b-v1	direct:150-136-40-217:complete
2026-07-28T09:49:23+00:00	n50	opt-6.7b	rome-math-n50-opt-6.7b-v1	direct:150-136-40-217:complete
2026-07-28T09:53:58+00:00	n50	llama2-7b	rome-math-n50-llama2-7b-v1	direct:150-136-40-217:complete
2026-07-28T09:58:24+00:00	n50	granite4-micro	rome-math-n50-granite4-micro-v1	direct:150-136-40-217:complete
