run_number,clean,corrupted,restored_token,restored
0,"(' director', 0.04683662950992584)","(' first', 0.00020944052084814757)",0,"[(' first', 0.002138799522072077), (' first', 9.950550156645477e-05), (' first', 7.158834341680631e-05), (' club', 0.0004854158032685518), (' first', 0.00019735743990167975), (' sound', 5.1703005738090724e-05), (' first', 0.00019086153770331293), (' great', 4.4241980504011735e-05), (' first', 0.000422943034209311), (' ""', 9.276540367864072e-05), (' Queen', 8.92908064997755e-05), (' first', 0.000250560900894925), (' game', 0.00017383693193551153), (' more', 0.00020746001973748207), (' first', 0.00017910257156472653), (' great', 0.0004266604082658887), (' Great', 0.0002898384118452668), (' only', 0.0006476324633695185), (' +', 0.0001615516230231151), (' King', 8.528996113454923e-05), (' number', 5.755354868597351e-05), (' Greek', 5.729902477469295e-05), (' King', 0.00011056454968638718), (' first', 0.00010288132762070745), (' Serpent', 7.074665973050287e-06), (' first', 0.00022629224986303598), (' goddess', 0.00020084121206309646), (' first', 0.0001226710737682879), (' first', 0.00041312575922347605), (' last', 0.0001762325264280662), (' most', 0.00039586969069205225), (' goddess', 0.00011733780411304906), (' Greek', 8.380471263080835e-05), (' ""', 0.00019313403754495084), (' name', 0.000687438587192446), (' ""', 0.00018527242355048656), (' most', 0.00014286897203419358), (' only', 0.00033262663055211306), (' first', 0.00013099350326228887), (' first', 0.00023470375163014978), (' ""', 0.0009470650111325085), (' only', 0.0002528237528167665), (' year', 0.00026726321084424853), (' name', 0.0003742432745639235), (' first', 0.0005164920003153384), (' name', 0.00030681522912345827), (' more', 0.00030546553898602724), (' ""', 0.0005760760977864265)]"
0,"(' director', 0.04683662950992584)","(' first', 0.00020944052084814757)",1,"[(' Great', 2.832737118296791e-05), (' first', 0.000498729117680341), (' game', 0.0037501014303416014), (' head', 0.00405164435505867), (' ""', 0.0003643465752247721), (' world', 0.00013000979379285127), (' first', 0.00044717552373185754), (' first', 0.0003914486151188612), (' Japanese', 0.01172963809221983), (' first', 0.0004952846793457866), (' first', 0.0011663060868158937), (' first', 0.0004984855186194181), (' ""', 0.0006167714600451291), (' first', 0.004813854582607746), (' t', 5.8458030252950266e-05), (' first', 0.0005747388931922615), (' the', 5.047347258368973e-06), (' first', 0.00037605303805321455), (' first', 0.0001596012298250571), (' first', 0.00029516214272007346), (' sound', 0.00016245288134086877), (' only', 0.00012016828259220347), (' first', 0.00045565591426566243), (' French', 0.0004482046642806381), (' first', 0.00042185201891697943), (' game', 0.0002098501572618261), (' King', 0.00048564153257757425), (' first', 0.00042415785719640553), (' first', 0.00020542231504805386), (' king', 0.00042247274541296065), (' God', 0.00030343583784997463), (' Lord', 0.00014513016503769904), (' first', 0.0004350166127551347), (' first', 0.0006171761197037995), (' name', 0.0008112966315820813), (' sound', 0.00011336207535350695), (' ""', 0.0005170470685698092), (' son', 8.93468240974471e-05), (' name', 0.0001401792687829584), (' ""', 0.00021497075795195997), (' first', 0.0003671027079690248), (' first', 7.472980360034853e-05), (' founder', 0.010705498047173023), (' first', 0.00024800855317153037), (' first', 0.0005376773187890649), (' king', 0.00020152697106823325), (' queen', 3.004082100233063e-05), (' first', 0.0005194836994633079)]"
0,"(' director', 0.04683662950992584)","(' first', 0.00020944052084814757)",2,"[(' Great', 0.00018722373351920396), (' Greek', 0.00012553346459753811), (' great', 0.0001239308185176924), (' first', 0.0003764491993933916), (' first', 0.0005229346570558846), (' first', 0.0010289376368746161), (' first', 0.0009031548397615552), (' sound', 0.0004104732070118189), (' first', 0.0006530303508043289), (' ""', 0.0003357546229381114), (' first', 0.006822741124778986), (' first', 0.0002662033657543361), (' ""', 0.003370523452758789), (' first', 0.0006126494845375419), (' first', 0.0005803915555588901), (' first', 0.0005026809521950781), (' first', 0.0007572696777060628), (' first', 0.00041414957377128303), (' first', 0.0003990240511484444), (' first', 0.0002280949120176956), (' Serpent', 2.871815195248928e-05), (' first', 0.00014533527428284287), (' first', 0.00043215518235228956), (' world', 0.00027791346656158566), (' Japanese', 0.00041510508162900805), (' name', 0.000670817622449249), (' first', 0.0010782358003780246), (' day', 0.0010777872521430254), (' first', 0.0003153135476168245), (' Prophet', 0.00012161766062490642), (' great', 9.728901204653084e-05), (' power', 4.462471406441182e-05), (' world', 0.00019496178720146418), (' ""', 0.0002482614363543689), (' first', 0.00013122532982379198), (' first', 0.0017340609338134527), (' name', 0.00012830410560127348), (' king', 0.0006426888867281377), (' ""', 0.00018557278963271528), (' devil', 0.00018393372010905296), (' same', 0.0002757765178103), (' new', 0.0008649569354020059), (' first', 0.00023262616014108062), (' first', 0.0003053951368201524), (' first', 0.00020611756190191954), (' King', 0.00025217453367076814), (' ""', 0.0006979467580094934), (' ""', 6.155405571917072e-05)]"
0,"(' director', 0.04683662950992584)","(' first', 0.00020944052084814757)",3,"[(' first', 0.000310256757074967), (' former', 0.02318522520363331), (' Japanese', 0.0006791893974877894), (' Japanese', 0.0015932469395920634), (' Japanese', 0.0007784426561556756), (' first', 0.0009587029344402254), (' first', 0.0005293131107464433), (' first', 0.0019466642988845706), (' head', 0.006656583398580551), (' head', 0.02957300841808319), (' daughter', 0.0036495232488960028), (' founder', 0.008654812350869179), (' the', 8.705170557732345e-07), (' player', 0.0036177418660372496), (' Japanese', 0.0012346579460427165), (' Japanese', 0.011593886651098728), (' Japanese', 0.0009305582498200238), (' first', 9.738391963765025e-05), (' Japanese', 0.0017147775506600738), (' first', 0.0005490974290296435), (' King', 0.0030361395329236984), (' opponent', 5.36448678758461e-05), (' end', 0.00011197834101039916), (' first', 0.0002773847954813391), (' Dawn', 5.075905573903583e-05), (' game', 0.00030480732675641775), (' Japanese', 0.0002516985696274787), (' first', 0.0012363482965156436), (' Japanese', 0.0010717735858634114), (' Japanese', 0.0005509224720299244), (' sound', 0.0003777581441681832), (' whole', 0.0007960648508742452), (' Lord', 9.89861146081239e-05), (' only', 0.0003196904144715518), (' Great', 7.5780953920912e-05), (' world', 0.00023303332272917032), (' most', 0.0001127494324464351), (' Lord', 0.0001632419734960422), (' first', 0.00010715340613387525), (' first', 0.0005664016352966428), (' first', 0.00018398907559458166), (' first', 0.00023399796918965876), (' first', 0.00042276945896446705), (' ""', 0.00018896677647717297), (' name', 0.00028778400155715644), (' ""', 0.0008368266862817109), (' ""', 0.00010984353139065206), (' Fac', 2.8973536245757714e-05)]"
1,"(' the', 0.5057634115219116)","(' the', 0.33719587326049805)",0,"[(' the', 0.36538878083229065), (' the', 0.3899751901626587), (' the', 0.24222739040851593), (' the', 0.293484628200531), (' the', 0.27454155683517456), (' the', 0.34988489747047424), (' the', 0.4069613814353943), (' the', 0.39362552762031555), (' the', 0.2840394973754883), (' the', 0.33000972867012024), (' the', 0.39601513743400574), (' the', 0.563533365726471), (' the', 0.3119542896747589), (' the', 0.33425894379615784), (' the', 0.29619652032852173), (' the', 0.412428081035614), (' the', 0.743028461933136), (' the', 0.5487369894981384), (' the', 0.35426977276802063), (' the', 0.35842251777648926), (' the', 0.5301358103752136), (' the', 0.4306974411010742), (' the', 0.35726043581962585), (' the', 0.36401286721229553), (' the', 0.5119900703430176), (' the', 0.4188057482242584), (' the', 0.45610278844833374), (' the', 0.22910642623901367), (' the', 0.28845086693763733), (' the', 0.498988538980484), (' the', 0.3560045659542084), (' the', 0.4826434552669525), (' the', 0.2846638858318329), (' the', 0.4777388572692871), (' the', 0.3291842043399811), (' the', 0.3554379940032959), (' the', 0.3634915351867676), (' the', 0.46409526467323303), (' the', 0.2545771300792694), (' the', 0.4433545172214508), (' the', 0.2566438615322113), (' the', 0.3967083692550659), (' the', 0.49762600660324097), (' the', 0.24599653482437134), (' the', 0.20886747539043427), (' the', 0.6505109667778015), (' the', 0.4711155295372009), (' the', 0.3341987431049347)]"
1,"(' the', 0.5057634115219116)","(' the', 0.33719587326049805)",1,"[(' the', 0.3161063492298126), (' located', 0.04040687903761864), (' the', 0.34389474987983704), (' the', 0.6840745806694031), (' the', 0.4337421655654907), (' the', 0.3675403296947479), (' the', 0.41982588171958923), (' the', 0.36648932099342346), (' the', 0.2396865338087082), (' the', 0.3906410038471222), (' the', 0.41220933198928833), (' the', 0.3157837688922882), (' the', 0.426577091217041), (' the', 0.4170256555080414), (' the', 0.35163113474845886), (' the', 0.31816503405570984), (' the', 0.5025112628936768), (' the', 0.5117412805557251), (' the', 0.3560047745704651), (' the', 0.36518627405166626), (' the', 0.24436774849891663), (' the', 0.2842642664909363), (' the', 0.7343794107437134), (' the', 0.35909736156463623), (' the', 0.31404659152030945), (' the', 0.552810549736023), (' the', 0.3491298258304596), (' the', 0.17923124134540558), (' the', 0.32404688000679016), (' the', 0.3731483519077301), (' the', 0.45043912529945374), (' the', 0.6087771058082581), (' the', 0.40566202998161316), (' the', 0.31324347853660583), (' the', 0.4412323534488678), (' the', 0.38847529888153076), (' the', 0.42197296023368835), (' the', 0.6465826630592346), (' the', 0.27573534846305847), (' the', 0.32477858662605286), (' the', 0.42533767223358154), (' the', 0.6474080085754395), (' the', 0.45645731687545776), (' the', 0.6721169948577881), (' the', 0.33639779686927795), (' the', 0.5264087915420532), (' the', 0.29258522391319275), (' the', 0.4694598913192749)]"
1,"(' the', 0.5057634115219116)","(' the', 0.33719587326049805)",2,"[(' the', 0.31851518154144287), (' the', 0.2930837869644165), (' the', 0.23381119966506958), (' the', 0.29827752709388733), (' the', 0.3528514802455902), (' the', 0.330790251493454), (' the', 0.24459093809127808), (' the', 0.28663185238838196), (' the', 0.40311890840530396), (' the', 0.2730351388454437), (' the', 0.28662440180778503), (' the', 0.2994816303253174), (' the', 0.43638455867767334), (' the', 0.24651454389095306), (' the', 0.28010329604148865), (' the', 0.2641846835613251), (' the', 0.31666678190231323), (' the', 0.34672901034355164), (' the', 0.16816113889217377), (' the', 0.29954391717910767), (' the', 0.4872671961784363), (' the', 0.3296782672405243), (' the', 0.17974591255187988), (' the', 0.42676374316215515), (' the', 0.33075523376464844), (' the', 0.37252378463745117), (' the', 0.47612497210502625), (' the', 0.4262866973876953), (' the', 0.4264342486858368), (' the', 0.2611313760280609), (' the', 0.3171059489250183), (' the', 0.4879101514816284), (' the', 0.32227039337158203), (' the', 0.43788185715675354), (' the', 0.2657385766506195), (' the', 0.24031245708465576), (' the', 0.2323879897594452), (' the', 0.2998519539833069), (' the', 0.48564252257347107), (' the', 0.3660876750946045), (' the', 0.49970853328704834), (' the', 0.30185428261756897), (' the', 0.29450395703315735), (' the', 0.34756067395210266), (' the', 0.4416906237602234), (' the', 0.3222191035747528), (' the', 0.5800402760505676), (' the', 0.4360103905200958)]"
1,"(' the', 0.5057634115219116)","(' the', 0.33719587326049805)",3,"[(' the', 0.383322149515152), (' the', 0.5302988886833191), (' the', 0.39061439037323), (' the', 0.3464457094669342), (' the', 0.290511816740036), (' the', 0.3327195346355438), (' the', 0.504632294178009), (' the', 0.6830700635910034), (' the', 0.3679596185684204), (' the', 0.3651570975780487), (' the', 0.2872830629348755), (' the', 0.25780126452445984), (' the', 0.27917560935020447), (' the', 0.29539480805397034), (' the', 0.22995248436927795), (' the', 0.7651304006576538), (' the', 0.15548814833164215), (' the', 0.4385136365890503), (' the', 0.32052674889564514), (' the', 0.3541865348815918), (' the', 0.24073274433612823), (' the', 0.30113840103149414), (' the', 0.5332553386688232), (' the', 0.41711533069610596), (' the', 0.30580776929855347), (' the', 0.4863123595714569), (' the', 0.5886646509170532), (' the', 0.2977476119995117), (' the', 0.4544311463832855), (' the', 0.3359352946281433), (' the', 0.27038413286209106), (' the', 0.5643865466117859), (' the', 0.5038697123527527), (' the', 0.6868062615394592), (' the', 0.38436171412467957), (' the', 0.37360915541648865), (' the', 0.2827681303024292), (' the', 0.3722189962863922), (' the', 0.43330666422843933), (' the', 0.3408713936805725), (' the', 0.42695197463035583), (' the', 0.5145590305328369), (' the', 0.37902092933654785), (' the', 0.4878605604171753), (' the', 0.21335621178150177), (' the', 0.43129125237464905), (' the', 0.3228004276752472), (' the', 0.33696454763412476)]"
1,"(' the', 0.5057634115219116)","(' the', 0.33719587326049805)",4,"[(' the', 0.5728500485420227), (' the', 0.5646427273750305), (' the', 0.562853991985321), (' the', 0.6033685207366943), (' the', 0.5355691909790039), (' the', 0.3679550290107727), (' the', 0.43863627314567566), (' the', 0.5025801658630371), (' the', 0.41534262895584106), (' the', 0.6399548649787903), (' the', 0.5263462066650391), (' the', 0.39617741107940674), (' the', 0.49817946553230286), (' the', 0.48756808042526245), (' the', 0.5698290467262268), (' the', 0.370236873626709), (' the', 0.500617265701294), (' the', 0.4291415214538574), (' the', 0.5041755437850952), (' the', 0.3936240077018738), (' the', 0.28933632373809814), (' the', 0.4657842218875885), (' the', 0.41716718673706055), (' the', 0.569431483745575), (' the', 0.34718599915504456), (' the', 0.5878852605819702), (' the', 0.4891096353530884), (' Madrid', 0.14536891877651215), (' the', 0.23788796365261078), (' the', 0.5115900635719299), (' the', 0.3909633755683899), (' the', 0.38973644375801086), (' the', 0.36065369844436646), (' the', 0.36422470211982727), (' the', 0.39832696318626404), (' the', 0.5829055905342102), (' the', 0.531829297542572), (' the', 0.5308339595794678), (' the', 0.6823666095733643), (' the', 0.38759392499923706), (' the', 0.34747132658958435), (' the', 0.34828558564186096), (' the', 0.2818676829338074), (' the', 0.3767918646335602), (' the', 0.19328394532203674), (' the', 0.28274327516555786), (' the', 0.38514113426208496), (' the', 0.2163809835910797)]"
2,"(' the', 0.10333089530467987)","(' the', 0.15591202676296234)",0,"[(' the', 0.18963974714279175), (' the', 0.17668825387954712), (' the', 0.24713082611560822), (' the', 0.14426785707473755), (' the', 0.3278840184211731), (' the', 0.2312556952238083), (' the', 0.20286937057971954), (' the', 0.2584392726421356), (' the', 0.22169408202171326), (' the', 0.2908341884613037), (' the', 0.18763919174671173), (' the', 0.20796728134155273), (' the', 0.17919258773326874), (' the', 0.19476577639579773), (' the', 0.2068955898284912), (' the', 0.1735154539346695), (' the', 0.14402718842029572), (' the', 0.13444341719150543), (' the', 0.23284530639648438), (' the', 0.26649850606918335), (' the', 0.48069602251052856), (' the', 0.4708106219768524), (' the', 0.2576242685317993), (' the', 0.2593127489089966), (' the', 0.4251720905303955), (' the', 0.1484987586736679), (' the', 0.1715371459722519), (' the', 0.12645281851291656), (' the', 0.3246302902698517), (' the', 0.1640966534614563), (' the', 0.22311052680015564), (' the', 0.2678212821483612), (' the', 0.13353238999843597), (' the', 0.18232053518295288), (' the', 0.25928282737731934), (' the', 0.24211397767066956), (' the', 0.30618590116500854), (' the', 0.2064088135957718), (' the', 0.17025117576122284), (' the', 0.2307918220758438), (' the', 0.1393287479877472), (' the', 0.24635469913482666), (' the', 0.2871015667915344), (' the', 0.24799804389476776), (' the', 0.19474679231643677), (' the', 0.15702641010284424), (' the', 0.2741190493106842), (' the', 0.17608517408370972)]"
