run_number,prompt_num,clean,corrupted,restored_token,restored
1,0,"(' French', 0.4274365305900574)","(' a', 0.010471301153302193)",2,"[(' a', 0.005145118571817875), (' a', 0.0009654585737735033), (' a', 0.013586576096713543), (' a', 0.007133308332413435), (' a', 0.00019852773402817547), (' a', 0.004573322366923094), (' a', 0.008045037277042866), (' a', 0.043237585574388504), (' a', 0.0009143468923866749), (' a', 0.0012138724559918046), (' a', 0.0016261868877336383), (' a', 0.0038194931112229824), (' a', 0.0028310678899288177), (' a', 0.0010426660301163793), (' a', 0.001036662608385086), (' a', 0.0004767802602145821), (' a', 4.552867540041916e-05), (' a', 0.00012508143845479935), (' a', 0.0003647993435151875), (' a', 3.86975661967881e-05), (' a', 0.00047340113087557256), (' a', 0.00017693446716293693), (' a', 6.877184205222875e-05), (' a', 4.45903860963881e-05)]"
1,0,"(' French', 0.4274365305900574)","(' a', 0.010471301153302193)",3,"[(' the', 0.0003481079183984548), (' a', 0.00012435061216820031), (' a', 0.00011021241516573355), (' a', 0.00040892939432524145), (' the', 0.0015444038435816765), (' a', 0.00040280373650602996), (' a', 8.150021312758327e-05), (' a', 0.0008171541267074645), (' a', 0.00013040589692536741), (' a', 0.0009565756190568209), (' a', 0.0007842002087272704), (' a', 0.00015604468353558332), (' a', 0.0018295401241630316), (' a', 0.00035600937553681433), (' a', 0.0008632322424091399), (' a', 0.002095811767503619), (' a', 0.00014519930118694901), (' a', 7.835758151486516e-05), (' a', 0.0009453856036998332), (' a', 0.0001097860440495424), (' a', 0.0001163814085884951), (' a', 9.066788334166631e-05), (' a', 7.855574222048745e-05), (' a', 0.00015913485549390316)]"
1,0,"(' French', 0.4274365305900574)","(' a', 0.010471301153302193)",4,"[(' a', 0.0001035482418956235), (' a', 4.997708310838789e-05), (' a', 3.004007157869637e-05), (' a', 4.933437594445422e-05), (' a', 4.6710145397810265e-05), (' a', 3.5829649277729914e-05), (' a', 4.995777999283746e-05), (' a', 6.330232281470671e-05), (' a', 7.836657459847629e-05), (' a', 0.00018401186389382929), (' a', 0.00014733278658241034), (' a', 7.54754728404805e-05), (' a', 0.00011002918472513556), (' a', 7.530279253842309e-05), (' a', 0.00012385133595671505), (' a', 0.00016001411131583154), (' a', 0.0001431861164746806), (' a', 0.00015220367640722543), (' a', 2.905978908529505e-05), (' a', 8.72379241627641e-05), (' a', 0.00021676623146049678), (' a', 7.350068335654214e-05), (' a', 0.00010159063822356984), (' a', 0.0004892206634394825)]"
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",1,"[(' a', 0.0001252513175131753), (' a', 0.00025768426712602377), (' a', 3.9322487282333896e-05), (' a', 5.693510502169374e-06), (' a', 1.6631095149932662e-06), (' a', 9.119879905483685e-06), (' a', 6.49914873065427e-05), (' a', 6.91022341925418e-06), (' a', 1.749514376570005e-05), (' that', 1.1756571439036634e-05), (' a', 2.082856371998787e-05), (' a', 3.612575528677553e-05), (' a', 1.3817651733916136e-06), (' a', 1.4661120985692833e-05), (' a', 6.0062934608140495e-06), (' a', 2.2535972675541416e-05), (' a', 0.0002041307743638754), (' a', 1.691137731540948e-05), (' a', 2.5197001377819106e-05), (' a', 1.4934270211597322e-06), (' a', 1.2743043043883517e-05), (' a', 1.0066264621855225e-05), (' a', 6.714496703352779e-05), (' a', 8.13422302599065e-05)]"
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",2,"[(' a', 4.129474109504372e-05), (' a', 4.066777910338715e-05), (' a', 4.064269523951225e-05), (' a', 2.305255657120142e-05), (' a', 0.00019483035430312157), (' a', 0.0001144731359090656), (' a', 5.0690301577560604e-05), (' a', 0.00030151853570714593), (' a', 6.02124237047974e-05), (' a', 2.946702079498209e-05), (' a', 1.861058990471065e-06), (' a', 4.5008397137280554e-05), (' a', 0.00047335884300991893), (' a', 6.789700273657218e-05), (' a', 8.49079733598046e-05), (' a', 4.619061292032711e-05), (' a', 3.783134525292553e-05), (' a', 0.00011753539001801983), (' a', 7.407633529510349e-05), (' a', 3.6681135497929063e-06), (' a', 2.0653118554037064e-05), (' a', 1.0677265890990384e-05), (' a', 4.800554052053485e-06), (' a', 2.4195658625103533e-05)]"
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",3,"[(' a', 4.949637059326051e-06), (' a', 1.2553117812785786e-05), (' a', 0.00016203874838538468), (' a', 6.7160758590034675e-06), (' a', 5.630193118122406e-05), (' a', 8.82830354385078e-05), (' a', 3.9053793443599716e-05), (' a', 6.494118224509293e-06), (' a', 1.700821849226486e-05), (' a', 1.603727287147194e-05), (' a', 3.475054836599156e-05), (' a', 0.00027423101710155606), (' a', 0.00011238297884119675), (' a', 0.00014178363198880106), (' a', 2.0429717551451176e-05), (' a', 0.0001160716128651984), (' a', 6.604113150388002e-05), (' a', 1.954290382855106e-05), (' a', 2.8434240448405035e-05), (' a', 9.547573426971212e-05), (' a', 1.617596899450291e-05), (' a', 3.779240796575323e-05), (' a', 0.0005310491542331874), (' a', 3.828847184195183e-06)]"
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",4,"[(' a', 0.00016221986152231693), (' a', 7.952278974698856e-05), (' a', 0.00015603865904267877), (' a', 2.2433450794778764e-05), (' a', 2.7916927137994207e-05), (' a', 7.372173422481865e-05), (' a', 1.9280301785329357e-05), (' a', 1.067904395313235e-05), (' a', 1.59733845066512e-05), (' a', 4.244816955178976e-05), (' a', 4.84726442664396e-05), (' a', 3.993055361206643e-05), (' a', 5.443628833745606e-05), (' a', 0.00011207586794625968), (' a', 3.1993781703931745e-06), (' a', 3.0210796467144974e-05), (' a', 2.5655792342149653e-05), (' a', 3.5336825021659024e-06), (' a', 1.603005512151867e-05), (' a', 5.398315261118114e-05), (' a', 5.02469738421496e-05), (' a', 1.7546559320180677e-05), (' that', 1.469888047722634e-06), (' a', 0.00018157048907596618)]"
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",5,"[(' a', 8.392568270210177e-05), ('t', 3.55097399733495e-05), (' a', 4.679431367549114e-05), (' a', 2.0813162336708046e-05), (' a', 1.8995149730471894e-05), (' a', 4.293351958040148e-05), (' a', 9.50234243646264e-06), (' a', 1.4979877050791401e-05), (' a', 4.2206564103253186e-05), (' a', 1.3511819815903436e-05), (' a', 0.00014992928481660783), (' a', 7.929628191050142e-05), (' a', 6.313392077572644e-06), (' a', 9.804216824704781e-05), (' a', 1.4891550563334022e-05), (' a', 5.042544671596261e-06), (' a', 5.048040293331724e-06), (' a', 1.2695835721387994e-05), (' a', 1.2793105270247906e-05), (' a', 3.785442459047772e-05), (' a', 2.3543108909507282e-05), (' a', 1.3136294910509605e-05), (' a', 6.341887910821242e-06), (' a', 1.8010967323789373e-05)]"
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",6,"[(' a', 4.391185939311981e-05), (' a', 1.8999326130142435e-05), (' a', 2.426643914077431e-05), (' a', 6.59571960568428e-05), (' a', 6.0547310567926615e-05), (' a', 4.997078576707281e-05), (' a', 3.507034853100777e-05), (' a', 2.7623773348750547e-05), (' a', 2.1056189325463492e-06), (' a', 1.888587576104328e-05), (' a', 1.5898327546892688e-05), (' a', 8.384531975025311e-05), (' a', 9.434409003006294e-05), (' a', 8.961184903455433e-06), (' a', 6.959254096727818e-05), (' a', 8.746617822907865e-05), (' a', 3.415499122638721e-06), (' a', 2.0371104255900718e-05), (' that', 4.87440138385864e-06), (' a', 9.419908565178048e-06), (' a', 8.993972187454347e-06), (' a', 2.8226191716385074e-05), (' a', 7.5046864367323e-06), (' a', 6.857412245153682e-06)]"
2,5,"(' Dutch', 0.20871536433696747)","(' a', 8.635283302282915e-05)",7,"[(' a', 4.468604856810998e-06), (' a', 3.743712295545265e-05), (' that', 6.370766641339287e-06), (' a', 7.380210263363551e-06), (' a', 1.3520872016670182e-05), (' a', 3.218103665858507e-05), ('t', 1.307520051341271e-05), (' a', 1.2263268217793666e-05), (' a', 1.046257784764748e-05), (' a', 2.3310929464059882e-05), (' a', 7.836316399334464e-06), (' a', 5.407751086750068e-05), (' a', 4.2222050979034975e-05), (' a', 0.0003151735581923276), (' a', 2.2521700884681195e-05), (' a', 0.00011157897824887186), (' a', 6.768599178030854e-06), (' a', 2.7402562409406528e-05), (' a', 2.614730146888178e-05), (' a', 2.4248072804766707e-05), (' a', 4.309643372835126e-06), (' a', 2.4893992303987034e-05), (' a', 2.7814983695861883e-05), (' a', 3.139998170809122e-06)]"
