run_number,clean,corrupted,restored_token,restored
0, Seattle,.,0,"['.', ' Toronto', '.', '.', '.', ' Seattle', ' to', ' Denver', '.', '.', ' Houston', ',', '.', 's', ' Seattle', '.', ' is', ',', ' San', '.', ' to', ' Chicago', ' Toronto', ' Seattle', ')', '.', '.', ',', '.', ' space', ':', '.', ' is', ',', '.', ' Seattle', ' Minneapolis', ' Seattle', ',', ',', ',', '.', ',', ' Seattle', ' is', ' Seattle', ""'s"", ',', ' Seattle', ' downtown', '.', '.', ' Toronto', ' Portland', ' Chicago', ' Los', ' Houston', ',', '.', ' is', ',', '.', ',', ' Chicago', ' downtown', '.', ',', ' Toronto', ' is', ' is', '.', '.', ',', ' is', '.', ' is', ',', '.', ' Chicago', '.', ',', ' and', ' is', ' Seattle', ' you', ' Toronto', ',', '\n', ' Seattle', ' Toronto', ' Chicago', '.']"
0, Seattle,.,1,"['.', ' Toronto', '.', '.', '.', ' Seattle', ' to', ' Denver', '.', '.', ' Houston', ',', '.', 's', ' Seattle', '.', ' is', ',', ' San', '.', ' to', ' Chicago', ' Toronto', ' Seattle', ')', '.', '.', ',', '.', ' space', ':', '.', ' is', ',', '.', ' Seattle', ' Minneapolis', ' Seattle', ',', ',', ',', '.', ',', ' Seattle', ' is', ' Seattle', ""'s"", ',', ' Seattle', ' downtown', '.', '.', ' Toronto', ' Portland', ' Chicago', ' Los', ' Houston', ',', '.', ' is', ',', '.', ',', ' Chicago', ' downtown', '.', ',', ' Toronto', ' is', ' is', '.', '.', ',', ' is', '.', ' is', ',', '.', ' Chicago', '.', ',', ' and', ' is', ' Seattle', ' you', ' Toronto', ',', '\n', ' Seattle', ' Toronto', ' Chicago', '.']"
0, Seattle,.,2,"['.', ' Toronto', '.', '.', '.', ' Seattle', ' to', ' Denver', '.', '.', ' Houston', ',', '.', 's', ' Seattle', '.', ' is', ',', ' San', '.', ' to', ' Chicago', ' Toronto', ' Seattle', ')', '.', '.', ',', '.', ' space', ':', '.', ' is', ',', '.', ' Seattle', ' Minneapolis', ' Seattle', ',', ',', ',', '.', ',', ' Seattle', ' is', ' Seattle', ""'s"", ',', ' Seattle', ' downtown', '.', '.', ' Toronto', ' Portland', ' Chicago', ' Los', ' Houston', ',', '.', ' is', ',', '.', ',', ' Chicago', ' downtown', '.', ',', ' Toronto', ' is', ' is', '.', '.', ',', ' is', '.', ' is', ',', '.', ' Chicago', '.', ',', ' and', ' is', ' Seattle', ' you', ' Toronto', ',', '\n', ' Seattle', ' Toronto', ' Chicago', '.']"
0, Seattle,.,3,"['.', ' Toronto', '.', '.', '.', ' Seattle', ' to', ' Denver', '.', '.', ' Houston', ',', '.', 's', ' Seattle', '.', ' is', ',', ' San', '.', ' to', ' Chicago', ' Toronto', ' Seattle', ')', '.', '.', ',', '.', ' space', ':', '.', ' is', ',', '.', ' Seattle', ' Minneapolis', ' Seattle', ',', ',', ',', '.', ',', ' Seattle', ' is', ' Seattle', ""'s"", ',', ' Seattle', ' downtown', '.', '.', ' Toronto', ' Portland', ' Chicago', ' Los', ' Houston', ',', '.', ' is', ',', '.', ',', ' Chicago', ' downtown', '.', ',', ' Toronto', ' is', ' is', '.', '.', ',', ' is', '.', ' is', ',', '.', ' Chicago', '.', ',', ' and', ' is', ' Seattle', ' you', ' Toronto', ',', '\n', ' Seattle', ' Toronto', ' Chicago', '.']"
1, Seattle, of,0,"[' Toronto', ',', ' Toronto', '.', '.', ' is', ',', ',', '.', ' Los', ' Chicago', ',', ' Los', ',', ' is', ' Detroit', ',', '.', ',', ' Denver', '.', ' Toronto', ',', ' Portland', ',', ',', ' Chicago', ',', ',', '.', ' San', ' San', ',', ' is', ',', ' downtown', '.', '?', ' Seattle', ',', '.', ' Los', ' Vancouver', ' Houston', ' Toronto', ' Seattle', '.', ' Seattle', ' Seattle', '.', ' Los', ' Detroit', ' Seattle', '.', ' Toronto', '.', ' is', ' Detroit', '.', ' is', ' is', ' Houston', ',', '.', ' Chicago', ' San', ' is', ' Paris', '.', ' Seattle', ',', '.', '.', ',', ' Toronto', ' is', '.', ' is', ' Seattle', ' is', ' Seattle', ' Seattle', ' Seattle', ',', ' Seattle', ' Seattle', ',', ' Denver', ' Chicago', '.', ' is', ',']"
1, Seattle, of,1,"[' Toronto', ',', ' Toronto', '.', '.', ' is', ',', ',', '.', ' Los', ' Chicago', ',', ' Los', ',', ' is', ' Detroit', ',', '.', ',', ' Denver', '.', ' Toronto', ',', ' Portland', ',', ',', ' Chicago', ',', ',', '.', ' San', ' San', ',', ' is', ',', ' downtown', '.', '?', ' Seattle', ',', '.', ' Los', ' Vancouver', ' Houston', ' Toronto', ' Seattle', '.', ' Seattle', ' Seattle', '.', ' Los', ' Detroit', ' Seattle', '.', ' Toronto', '.', ' is', ' Detroit', '.', ' is', ' is', ' Houston', ',', '.', ' Chicago', ' San', ' is', ' Paris', '.', ' Seattle', ',', '.', '.', ',', ' Toronto', ' is', '.', ' is', ' Seattle', ' is', ' Seattle', ' Seattle', ' Seattle', ',', ' Seattle', ' Seattle', ',', ' Denver', ' Chicago', '.', ' is', ',']"
1, Seattle, of,2,"[' Toronto', ',', ' Toronto', '.', '.', ' is', ',', ',', '.', ' Los', ' Chicago', ',', ' Los', ',', ' is', ' Detroit', ',', '.', ',', ' Denver', '.', ' Toronto', ',', ' Portland', ',', ',', ' Chicago', ',', ',', '.', ' San', ' San', ',', ' is', ',', ' downtown', '.', '?', ' Seattle', ',', '.', ' Los', ' Vancouver', ' Houston', ' Toronto', ' Seattle', '.', ' Seattle', ' Seattle', '.', ' Los', ' Detroit', ' Seattle', '.', ' Toronto', '.', ' is', ' Detroit', '.', ' is', ' is', ' Houston', ',', '.', ' Chicago', ' San', ' is', ' Paris', '.', ' Seattle', ',', '.', '.', ',', ' Toronto', ' is', '.', ' is', ' Seattle', ' is', ' Seattle', ' Seattle', ' Seattle', ',', ' Seattle', ' Seattle', ',', ' Denver', ' Chicago', '.', ' is', ',']"
1, Seattle, of,3,"[' Toronto', ',', ' Toronto', '.', '.', ' is', ',', ',', '.', ' Los', ' Chicago', ',', ' Los', ',', ' is', ' Detroit', ',', '.', ',', ' Denver', '.', ' Toronto', ',', ' Portland', ',', ',', ' Chicago', ',', ',', '.', ' San', ' San', ',', ' is', ',', ' downtown', '.', '?', ' Seattle', ',', '.', ' Los', ' Vancouver', ' Houston', ' Toronto', ' Seattle', '.', ' Seattle', ' Seattle', '.', ' Los', ' Detroit', ' Seattle', '.', ' Toronto', '.', ' is', ' Detroit', '.', ' is', ' is', ' Houston', ',', '.', ' Chicago', ' San', ' is', ' Paris', '.', ' Seattle', ',', '.', '.', ',', ' Toronto', ' is', '.', ' is', ' Seattle', ' is', ' Seattle', ' Seattle', ' Seattle', ',', ' Seattle', ' Seattle', ',', ' Denver', ' Chicago', '.', ' is', ',']"
2, Seattle, Seattle,0,"[',', ',', '.', ' London', '.', '.', ' Toronto', ' Toronto', ' Washington', ' is', ' to', ',', '.', ',', ')', ' Los', ' is', '.', ' Houston', ',', '.', '.', ' Toronto', '.', ' Seattle', ' Seattle', ',', ' of', ' is', '.', '.', ' is', ' Seattle', ' is', ' Seattle', ')', ' Seattle', ' Toronto', ',', '.', ' London', '.', ',', ',', '.', ' Seattle', ',', '\n', ' Seattle', '.', '.', '.', '.', ',', '.', ' Toronto', ' downtown', ',', ' based', '.', '.', ',', ' is', '.', '.', '.', '.', ' Toronto', ',', '.', ',', ' downtown', ' Chicago', '.', '.', ' is', ',', '\n', ' Seattle', ' is', ' Chicago', ' is', ' Manhattan', ',', ' is', '\n', ' Seattle', '.', ' is', ',', 's', ' Seattle']"
2, Seattle, Seattle,1,"[',', ',', '.', ' London', '.', '.', ' Toronto', ' Toronto', ' Washington', ' is', ' to', ',', '.', ',', ')', ' Los', ' is', '.', ' Houston', ',', '.', '.', ' Toronto', '.', ' Seattle', ' Seattle', ',', ' of', ' is', '.', '.', ' is', ' Seattle', ' is', ' Seattle', ')', ' Seattle', ' Toronto', ',', '.', ' London', '.', ',', ',', '.', ' Seattle', ',', '\n', ' Seattle', '.', '.', '.', '.', ',', '.', ' Toronto', ' downtown', ',', ' based', '.', '.', ',', ' is', '.', '.', '.', '.', ' Toronto', ',', '.', ',', ' downtown', ' Chicago', '.', '.', ' is', ',', '\n', ' Seattle', ' is', ' Chicago', ' is', ' Manhattan', ',', ' is', '\n', ' Seattle', '.', ' is', ',', 's', ' Seattle']"
